,TWEETS
191,@cybervenus http://twitpic.com/75kwb ~ LOL LuV IT! &gt;&gt; http://twitpic.com/75hsg Did any1 find or c 1? #a.. http://bit.ly/mUMFh
192, @dandelionas is making fettucini and garlic bread!
193, @danregal  tell @pfont i said Happy BDay!! 
195,"@DirtyRose17  told you, you would sweep haha :-p"
203,"- @haugern The servers are now backup, if you experience any more problems then please let me know  Sorry about the delay..."
204,"@hawaiibuzz: &quot;yes, i am lol j/k luv this! @DJDolceVita: &quot;you are like a gentle breeze that has blown throug... â™« http://blip.fm/~7s7mn"
206, @hidingesther @linininiooh are my future rooooooooomies! NYC holleR
207,@Hijack_King7 I hope u have cheeSe burgerS 4 @Snubbmatic LMBO
208, @iamyas awesome
209, @ivegotzooms I am nothing of the kind and everything of the sort http://tr.im/mLsn
210,- @jerrybattiste &quot;..pick up some flowers for the teacher..&quot; I'm jealous! I want flowers without having to be in the hospital to get them! 
211,- @joaoqalves Think again   Talvez seja do Ãªnfase na cifra. Mas atenÃ§Ã£o: &quot;Security is a chain; it's as strong as the weakest link â€¦
214,- @kaitymarine - watch E3 @MCMudkips - Will do
215,- @katherineholden Thanks K! Here's hoping! Pretty nervous though... 
217,@kcome ?????????????????????????????????? ????????????1000 Followers???????????? http://tr.im/mWKn
218,"@khead I'll tell ya, grocery store. It was better when you blasted the oldies. Sugar Ray does not make me.. http://tr.im/jd0y"
221," @LHSOPERAFIENDS yall bitches better wake up early to go to the LA Opera, kay!?"
225,"@masareus&quot; @dhempe congrats bhai, but like the oldies in &gt; used to say - arre bhai kuch kam ka http://tr.im/ox5G"
226, @MelodyChase
227,@mgph3nom chilling on twitter via my spanking new blackberry w/ unlimited internet : http://tr.im/mZVC
228, @michaelsarver so do you give him every inch of your love every night?
229, @mimbles @WParenthetical
230,' @minghao Maybe you can pop @StarHubCares a tweet. They are quite active on twitter. 
231," @MsNovember It's a shame all the women in Mamma Mia are so horny, since all the men on this island are so.. http://tr.im/kmET"
232,- @nibaq Thanks for letting me know. I'm going to check out Eureka later with this knowledge 
235,"- @PoisonGirl10 What's up? @sevgli Hey you!  @lowridergrl I'm doing ok, thx. You? @cristinerafae You, too! TTYL! @Nic0pic0 Oh, sowwy! lol"
236, @RAPPUBLICIST HAPPY MOTHERS DAY!
237,"- @raybooysen I knew Sharepoint was written by interns, I just knew it !! "
247,     I am happy     
256,Faltam 4 dias para o World Drawing day
258,   haha omg. stayin steezy &amp; mowin the lawn... loviie still here &amp;&amp; goiing tanning soon.
260,   i wanna play with my camera but i will settle for playing with iv's and heart monitors
269,   lol all these #robotpickuplines are hilarious 
270,"   man, oh man     (i should punch myself in the head, but im ok with that)"
271,"   my friends can get with ur friends and we can all b friends, shit, we could do this every weeknd.. Aiigght?  with coop n the crew"
275,   such a beautiful satisfying day of bargain shopping. loves it.
277,thank god today is friday !!! I love Ti Ti! &lt;3
279,   thrilled about being at work this morning   
280,   we break dance not hearts by Short Stack is my ringtone.... i LOVE that song!!!.....
286,          my life is very lazzzzyyyy!!!!!!!            ***********
288,       ish in a good mood .....tlk to me
294,-     J + A MADE NiCE..... TWiCE!                     for now ;]
295,     loves life atm!   its brilliant XD
296,     who else is in a happy mood?? =D
297,    !BYE EVERYONE!   
303,    SO FAR SO GOOD!
304,    TODAY WAS A GREAT DAY!!!
307,"   a lot, a lot, a lot, a lot, a lot, a lot, a lot, a lot, a lot, a lot, a lot, a lot."
326,Tiger Woods is up by 2at 18 via http://nascar.com/racebuddy
329,"yippeeeee yay lets gather in the hay...HIS LOVE FOUND IT'S WAY+ boy,it's Gonna STAY added 2 the Master's HOLY WAY: ALL HIS WILL+WAY"
335,       Hardest working chica i know( mii boss lady) @MoneyAceweather (look up to her seriously) lOl
339,      thanks for being the bestttttttttttttttttttt J-dawg
345,     praise God for this beautiful day!!!     
357,   @Lakers!! I love you guyssss! Those rings.. Mmmyeahh! Bling blingg
358,@PERFEKTnCHANCE (Chance) is Boo #29
359,   @Standing_Stones  Thank you very much for the DVD suggestion!  Very nice of you!  Looks good.
371,   had a WONDERFUL day  G_D is GRRRRRRRRREAT!!!!!     
375,I have passed 70-542 exam today
378,   I want to write a song. I think I will.
379,- @serialseb Always thought time estimates should use 'value of Pi rule' (x 3.14). Only exception being 'Pi squared rule'.
380, @SirKenRobinson Creativity via Twitter http://bit.ly/HVTHS
381,"- @SlashHudson you tease, i wanna hear the tracks!! "
383,@soultravelers3 http://bit.ly/H9Nqe  15 TravelTips 4 student safety in roughplaces
385, @SRenaeNae... What is 'FML'
386,@sweetlilmzmia: &quot;Gotta LOVE Blip.fm - John Mayer Trio - CALIFORNIA DREAMIN' as heard on Conan 06/04/2009 ---... â™« http://blip.fm/~7qdf0
387,@Thatsrightnate ~ Just in case you need some help w that:  http://bit.ly/12nP1H
388, @THEDIAMONDCOACH  Im sure he'd love that LOL
389,@theenglishmuse on &quot;Karl Lagerfeld&quot; 's Twitter profile(s) lol!  Heart the first pic http://tinyurl.com/cbl6tm
393,"@weselec My avatar can't figure out what you people are, either. http://tr.im/jj70"
395,"@yhf What happened to movies, anyway? It's like Hollywood forgot: in rough times, the public wants to see.. http://tr.im/mZ8l"
397,@ZOEBOE: &quot;whoops credit is due to   &gt;&gt;&gt;rb@MusicIsMySunshine:  &quot; ? http://blip.fm/~7d4pk
398,=&gt; How not to exit a Cessna 206 #skydiving http://bit.ly/16ZZJ7
401,"- 20 chicken mcnuggets, 2 double cheeseburgers, large fries, and a lemonade for dinner. Why you may ask? Because I hate my body."
403,- 400th tweet (!) breakfast: everything bagel toasted w/cream cheese with an iced cap... delish
407, A blessed sunday everyone!
409, A dog riding the bicycle http://bit.ly/gvMzD
411, A problem shared is a buck passed
413, à¸”à¸¹à¹?à¸šà¹„à¸•à¹‹ hitech
416,am quite tired can't wait till wwe at burswood &lt;3
419,"-  awake, and ready for the day "
420,  Being NASTY in the studio with my woman!!!  Go SLEEPIES!!!
426,  feeling ok for the first time in a few days. thank you!
427,"  found a new way to text him, yey!"
429,going for a paddle 2moz
430,  Good Nite.  I hope Grandma visits my dreams again tonight.  Last Night was uplifting...  I miss her.
431,  Goodbassplayer... that is funny.... ;)  OilIPO.... I hope the people that will bring us good things are started early this week... 
442,  I'm here to tell ya ... very yummy.  Decided to go on a hunt for blender drinks ... know any good ones?
445,  is listenin to my new fav band more amor
448,  Just another day in paradise. ;)
451,love you! &lt;333
460,- about to pop in a movie &amp; chill a bit... get it innnnn.! call n text 
461,- about to swim 
466, ahh school on monday!!!! not ready
467," ahhh. Drizzy. Mr. Rogers, you are indeed the best."
475, All the small things...
480,- always a nice thing to wake up to. yay. :p (gosh I'm such a typical lame overanalyzing teenager) lmao  / had a nice nap.
481, am excited
482, Am feelin very happy!? 
483, Am I feeding the Pig'?
486,-- An alarm clock is a device for waking up people who do not have small children. --- 
490, anoron.reedcourty.operaunite.com/webserver/content/ home.sch alternatÃ­va 
494, Another Friday night of Rock Band
497,  : D a million making a difference. I can't help but to believe. I came in believing &amp; I will leave believing GOD IS!
511,  Good morning all! Have a great day!!!
515,  having a luvly day http://tinyurl.com/ckbmkc
516,  he is so hot !
517,  hmm what to do!
524,- Iowa No. 2 in happy! Yea!
526,  just got home
528,  just saw sink into me the whole video on kerrang! ive seen it before loads but its so much better on tv!
532,  My mom is the funniest person ever!  
538,  Pie seems to have quite a good appetite now.
546,"NHL: Penguins 1, Red Wings 3 - FINAL - Red Wings lead series 1-0 - for stats, stars and more visit http://www.nhl.com"
549,R.I.P young teke!!!  i miss you cuzin!! &lt;3     it has been 1 year sence you died. . .    [Dont be ashamed of your faith]
552,- she is amazing -- Bjork ï¿½ Bachelorette ? http://blip.fm/~4lfyi
555,  Thank you.    @Kyauphie
565, #andyhurleyday
566,#ASOT400
568,#followfriday @n3rin3 @jurgenphoto @shaneaddinall @robi27 @dannyvan @byronrode @tattood1
570, #mcflyforgermany #mcflyforgermany #mcflyforgermany #mcflyforgermany #mcflyforgermany #mcflyforgermany #mcflyforgermany #mcflyforgermany
573, --&gt; that was then. ='( --&gt; this is NOW.
574,&lt;3 this pic If u want more tell me cause I got more   http://twitpic.com/6vsv8
575, &lt;---My expression watching this again: http://tinyurl.com/eqbwe
577, &quot;I'm a freelance writer for Braille porn and a stunt double for a hand model for Palmolive dishwashing liquid.&quot; [from @ShinyHappyHead]
578, &quot;Im in love and I don't care who knows it !&quot; -elf
580,"&quot;Y must people insist on talking about stupid politics on the comments of a bubblegum pop song. Sorry, get out&quot; http://tinyurl.com/ljgec2"
586, -as simple as it gets.
589,"at my tweets: 1 lady saying goodnite, 2 tweets later 1 lady is saying good morning - that's crazy - i would never imagined this yrs ago"
590, at the nursery. the wailing have just ended. all sleeping soundly. working morning shift tmrw. grr
591,AT THE RANDOM MENTION ABOUT CORE 2 &quot;DEALS&quot; THAT ARE ALMOST TWICE AS MUCH SENSE AS IT'S NOT TIED TO HIMSELF ABOUT TV EVERY NIGHT.
596, awake...finally..random dream...i was a penguin but i lived in jersey and i oddly lived in a icecream store lolz 
598, awesome black coffee... anyone?
599, aww great song &quot;Picture to burn&quot;
606,baby sitting today.. shopping tomorrow.. Rue 21 Is the best Ever..
607,baby you like my favorite dessert I just can not get enough of you love you I'm yours 4Eva
610, Back to basics 
614, BAHAHAHA  me and jodie burst out doing kevin's sos dance!  EPICCC XD
616,Bas one last time 2 update my status
617, baseball.
622,- been up for 2 days straight. LoL. i NEVER sleep.
627,  such a nice day
628,  Summertime by DJ Jazzy Jeff and The Fresh Prince
630,  the weather is lushhh!
632,  third date went well....moving on to fourth!!!!!!
633,  To The Death! An awesome random comic for the certifiably not sane. (  )
635,  twilight !!!
637,  two more days.
643,- 'What Canadians Have to be Proud of' http://bit.ly/NX4aQ
646,  xD go day!!!
647,- yay for STAR testing week! I start school at 11am this week and I have no school on thursday! maybe SF... http://tumblr.com/xvq1mln1l
648,- #Hello #World! This is where i live: http://twitpic.com/6bo0t #beautiful #5am #woop - bed now
649, #shortstack #tokiohotel #shortstack #tokiohotel #shortstack #tokiohotel #shortstack #tokiohotel #shortstack #tokiohotel #shortstack
651, &lt;*~Free!~*&gt;
652, &lt;----that's me smiling.
657,&quot;Nintendo DSi Portable Game System - What Will You and i Do?&quot; ( http://tinyurl.com/b3yobq )
658,&quot;Promote My Site - Getting to the Front Page and Other Places in Social Media&quot; ( http://tinyurl.com/dflzg4 )
659," &quot;The universe is a living being, and it's conscious, and it's very old. And it cares about itself in lots of ways.&quot; Drunvalo Melchizedek."
660,- &quot;the world makes music for people who listen &quot; 
661,&quot;Will Diggâ€™s New Share Feature Pollute Twitter?&quot; ( http://tinyurl.com/ncqkm5 )
664, *exited* I just bought some oreos!! I hope everyone likes oreos..
673,-- . BABBBBBBBBYY .  I missed you MUCH!!
675,-- . well then you gon have to stop w. that . &quot;IDC&quot; shit. JUST be faithful like *points to em* MOI! 
677, ... its JONAS DAY!!!!!!!!
688,: The Last Gadget http://tinyurl.com/pd4wyp #Geek_And_Poke
692,;) July Flowers (July 2009) #Holiday
694, @aaronXnow finally got twitter haha
695, @aChAotIcBeaUtY
696, @Aimee_B_Loved I think there may be a connection between Paul Reubens and the reason why movie theater fl.. http://tr.im/nfKO
698,"- @alittlebit - temperature is down, but the pain is still bad. Hoping antibiotics kick in soon! Thanks for asking "
699,"-- @anyamanda said I tweets less these days so, hi! "
700," @AuroraLee Would love to see you guys sometime! *grin* - and aw rats, maybe it'll warm up real fast??? LOL"
703,@blackswan2 &quot;to all you&quot; ? http://blip.fm/~7d1qo
704,@blondediva11 What happened while I was gone? Anybody get arrested http://tr.im/koFz
705,- @breegeek I'll know if u can't find a replacement 4me. I'll still pay u if not.  I won't let u hang
706, @canuckgrrrl Seeing a guy dressed up as a banana totally made my day. Phallic symbol FTW http://tr.im/mVTm
707,- @carole29 yep  coz of the England game on Wednesday
709,-- . =D There's my BOO.  *Blushes*
710,-- . BYYEEE . ILY2 Jamarcusssssss
712,-- . You aint gotta apologize. I know I'm not ugly. 
727, ...that is all
733,";) Butterfly Day (Jun 19, 2009) #Holiday"
734, ??? what does it means ?
738,- @ work.. || Only 5 hours of it today and then weeeekend!  Can't wait for the long weekend to begin! Gonna get some things done for sure!
739,@ahugeproduction Praying for my cold to go to my head because a skunk just sprayed my yard. This is the w.. http://tr.im/n8AI
740," @AriaaJaeger Created from the realms of Light, pure love commands the fold When you think and speak with love, a new world you'll behold~"
741,@arjunbasu The music was so quiet that he was sure there was a massive hoax being played. On him alone. I.. http://tr.im/mP2j
747," @Canuckflack Speaking as a historian, WTF do you incorporate twitter buzz by upper middle class North Ame.. http://tr.im/oFLS"
749,"- @cmedders Yes, before the show, I suggested that we ought to do a celebrity deathmatch "
750,"@CranberryPerson Dear hyper chihuahua, we only have 45 minutes left together on this drive, but I have a .. http://tr.im/lAj6"
751, @danawalker Washington Capitals would be one of #myweakness as well.
752," @daveena looking fwd to a twitpic of selma soon. Cool name, add a k to the end and it's tok'ra"
754, @dustincary yea I really wanna see a win for him at daytona
755,@DWO34 Great to follow @BUTTERFLYWHEEL @DebraWard @chastity_1111 @Cortnee4Christ @DWO34 @DarrenSproat @Sharboubou @mikehanes
756, @EightyThreeKid aww I'm sorry bae u kno I be grindin =D BUT I GOT U I SWEAR....I needa go buy an artbook that or construction paper
758,"@gigia: &quot;@Mama_K: &quot;Nobody told me Violent Femmes covered Gnarls Barkley! &quot; tks, dude!! &quot; ? http://blip.fm/~6svjq"
761,"@idvssuperego Started working on a â€œwarm, fluffy fartâ€? tweet before realizing I donâ€™t especially like far.. http://tr.im/n7J0"
762,@infobotz News = Google Getting Twitterpated? - http://tinyurl.com/oropl7
764, @jazzgotsoul @liveguy lol nooooooooo!!!
767,@LadyKeisha @scorpio510 thanx for the post &amp; the warm wishes.. enjoy ur day!
768,@latuacatante17 youu welcomee
769," @LisaBarone If, thru the miracle of modern science, Bruce and Danny had a child..."
772,"@loic Now try sex in bing, deactivate safe search and go to video. You are now on a porn site without lea.. http://tr.im/n18y"
775,@MICHAEL_CASTRO is not at 902  thanks!
782,"@mrjoecool well praise the lord 4 gud moods i kno i need 2 b 1, im workn out ma thighs &amp; these dark clouds is scaring me"
784,"@oliveshoot aw, sweet Leslie was tweeting luv last night!  You are my #1 and absolute FAVE!"
785, big ass kool-aid smile on my face from talkin to my boo...
787, blowdrying my hair
789, bored........doing nothing at all....okay...i'm a pretty shy girl...
790, BOREDDDD  going to do powerpoint
793, bosco graduation then sara's voice recital
794, breakfast with family
795, Britains Got Talent on RIGHT NOW ! Good luck Susan Boyle ;)
802,"- but suddenly something happens, I write it in Portuguese "
813, Can't Wait For Hills Finale Tonight! â™¥
814," Can't wait for the weekend, BMTH on Saturday!"
817,- certification test #2 at 8:30 this morning. Feeling much better about this one today
818,changin my name to ambergirl66 ;) haha my youtube name and it mathces my background ;)
819,-- chilling with my niggahz Haley and Dylan 
820, chocolate cake with a delicious strawberry yummy yummy
821," church with matt,was...good. I think I'm going to be a 'churchgirl' now. )"
822,-- city tonight for mae! 
827," come to manchester while your in england  id love to meet you  did you have fun in germany? its beautiful, i love it. (L) xx"
828, Coming up to the home stretch now with this J/M fic. YAY!!
830,"Congrats to AL's newest state Senator elect, Democrat Mark Keahey. http://is.gd/MRr3 #alpolitics"
831, Content.&quot;made a pac lets see how long it last&quot;
832, cookies the first time
848, def. i have no studio so ur jus gunna get the lyrics [shrug]  @ExoticBella_
857,"Didn't have time updating because was 2 busy enjoying this &quot;love making, sleep with no clothes on, &amp; eating bbq&quot; weather. I miss this &lt;3"
861, dinner &lt; bath &lt; workout &lt; run
862, Diplomatic husband to his wife &quot;How do u expect me to remember ur birthday when u never look any older?&quot; (via @normaltusker @nehabagoria)
867,Don't forget to vote today! http://bit.ly/3MG0r
872, @Dayngr TweetWrath I think I just coined a new word where is that twitter dictionary http://tr.im/nyYv
874, @DJWiLLGATES
877,@essentially_me Funny fact: @sween has about 3x his town's population following him on tumblr. How does h.. http://tr.im/lCEl
878,"@fernandofelman am gonna miss you too. if it's really gonna be 2-3 years, i might end up visiting you in Aussie land (i wish)"
880,@Grahamapalooza @RoniBryantMusic @Rob_in_Grantham @BananasMel @joetech @joecopas2671 @britespark @r0ckrulez @johnnybeane @bsideofSoccer
881,- @hannahradford is taking me to lunch today 
885, @jessdelight: LMAO @liveguy
886, @joeschmitt Twitter maintenance on a Friday night? They really haven't been listening if they think we wo.. http://tr.im/nDkq
887," @johnmaeda Are you a .EXE (do-er), .PPT (talk-er), or .TXT (leafy potted plant) http://tr.im/oBOf"
890, @krystynchong that's a lovely compliment. thx much! 
891, @ksymmonds THANKYOU 
898,- @MelbourneVixens Awesome 4th quarter ladies! Great game
900, @netfart quite the opposite
901,"- @nikkofelipe night, and thanks for the call "
903,"@PAN1F @OregonMJW No, I do know the difference! Like I say, it's been a long time. A very long time http://tr.im/nJOo"
904, @PhillMason @Philoscribe Thank you. I am genuinely grateful
905,- @PinkElephant73 So pretty much you look like a candy floss machine today
906, @prblog @steverubel posterous looks like tumblr for iPhone? looks interesting. can you fold this content .. http://tr.im/nhcv
912,-- DT tonight; DT tomorrow day &amp; night   beauty.
918," elise and melanie are the SHIZ,"
925,- Every so often I catch my own reflection &amp; think .. Now that's one cool son-of-a-b*tch .. today's one of those days 
931, Explore twitter
935,Famed Michigan bookstore to close its doors http://u.mavrev.com/bc7v
947,FIELD TRIP TODAY  LEAVING NOW :3
948,"- finally at home ; bout to napp , then get ready for college tomorrow  ughhh ; sooo excited !"
953, @rickswift #followfriday these ppl or catch crabs @KarlKleese @lpjdesign  @LostZombies @pinkraygun @BittenbyBooks @hippojuicefilm @zazzle
954," @SandyU @MightyBoognish @kittyireland It's light with a bit of punch. Mission=San Francisco gin, Mexican liqueur, seemed an apt name."
955,"@Savage_Death55 I am super emo about stupid stuff rn, and SG is making me feel better. :p"
957, @ShawnaShameless &amp; @killavilla if anyone else said something it's to you too.
960, @stevijean yeahuhh
969,@ThisChicsFlava: @DaPrbmChild lmao&lt;3
974," @zeldman just said on Flickr re a Mac that wouldn't install OS X (yes): &quot;As user-focused design goes, this is an exploding colostomy bag&quot;"
976, ~ LVATT IS COMMING!!! ~
978, =] happy sunday =] 
983,--- 2009 NCAA National Softball Champions UW Huskies
986, first days are always good..wish my dentist gave me more hours though
991, Found a way to make this Private woot woot
999, fucking rur mom
1000,"- Fwd: Good Morn,happy birthday !  regardless of what ppl said yesterday,they don't realize what happend behind the scene.One of the  ..."
1006,-- getting a Mani + Pedi with the husband! 
1007, getting a webcam today.
1009,- getting ready to watch the Sprint Cup boys try to tame the concrete Monster Mile! hopefully tires won't be too much of an issue! 
1012,-- g'night tweeties! &lt;3 talk to you all in the AM  - @damesmash haha you have work in the AM
1015, go follow my personal twitter! @nikkidallasen
1016, Go Wings! FTW!
1017,- God i'm up early. Hayley still asleep but today is party day so i'm getting stuff ready.  x
1018, going home to see my baby   [dont be ashamed of your faith]
1019, going out for dinner with the family 
1021, going to bed.
1022,- going to bed. 
1026, Going to London Expo this weekend  Can't wait !
1028,"- goingg to sleep  school , then out for pizzaa!"
1030,"Gonna WoW for a bit. Later, Twitter &lt;3"
1032, good morning lovely! 
1033, good morning/afternoon. Things will be great today.
1034,@only1fe FF @TommyBlack @djksly @Wordsmithmusic&lt;--FF them!Tommy- CHi ALLday K-sly..FLY!!JUNCITY! MANHATTAN!ATL OWWW! ; ) wordsmith fiyah!
1035, @pageoneresults Online reality blogging &amp; tweets... My Life On the Social Media D-List
1036,"- @paul_a_smith - ooh, but Clean Sheet Day is awesome!! Woo!  hope you're feeling better now?"
1038, @rabbitroodle  I think I've won the battle over the impending *crud*. Enjoy your drive this AM
1039,- @rainboweffect Crickey can't think that far ahead - think getting to 2009 followers is pretty ambitious
1040," @reidstott Coffee keeps me running. In fact, without coffee, I wouldn't get any exercise at all http://tr.im/mNkZ"
1041, @remysoon
1043,- @samshafer I bookmarked it and will check it out after I get some sleep. Thanks Sam! 
1045,@ShannonHerod &quot;It is always your next move.&quot; Napoleon Hil http://tr.im/mR0u
1046, @sonjatweet ur hot
1047," @ssandall That's it! Removing bots is like weeding a garden. Not fun, but must be done... eventually!"
1048, @TheNotoriousJEN
1049, @tjwriter Hubby has Briso on DVD.  I haven't seen it all yet but I enjoy it. I saw Army of Darkness and Evil Dead because of Hubs too.
1050,"- @ToothFairyHeavn What a considerate Tooth Fairy you are, checking to make sure you didn't miss anyone. "
1051,' @vangeest We are perfectly on schedule' - Nobody is waisting time today  (Don't mention the Sun again;) Dedicated audience
1052,"@yhf My twenties: Look, a bed! WONDER WHAT WE CAN DO. My thirties: Look, a be--ZZZZZZZZZZZzz http://tr.im/n88N"
1054,"@Zaius13 If it weren't for unspeakable things, I don't know what I'd do. http://tr.im/mX1N"
1055,_BellaCullen18_  i've been ok just got through crying with leah * frowns at the thought* we were talking about our dead fathers
1056, ~ cooking!!!
1057, ~ ncis!!!
1058,- 1 follower WOW!
1059,100 followers!  YAY!
1060,11:11 makee a wishhh ;)&lt;3 GOODNIGHT
1061,11:11. I know what I'm wishing for!
1062,- 155 days until the JB'concert in Milan!!!!I'm guarding my tickets
1066,21 days of no twittering and i'm back. -.- i think.
1068,30 lbs lost since Feb. Still have a lot more to go.
1070," Good Night ! Okay, I got really nothing to say."
1071,Good night! Arrgghhhh 5-2 B.P. Do work boys!
1072, good to hear from you
1073, good weekend
1076,- goodnight  ! math&amp;spanish finals tomorrow. spanish should be easy. woo.
1077, gooooood morning my twitter friends!  Have a nice sunday
1078, Gossip girl tonight!!!
1080, Got Escala's new album now.  T'is very good 
1081, Got new photoshop magazine but I need my Dad's portable CD drive to use the CD with the pics on it D: I think I'm stuck there tomorrow
1084, gotta love her. glad she had fun. looking forward to the beach w/ her! 
1087,- Great day people-watching in Berkeley with my bro  I love him.
1090, great nite
1091,"Great tights, good outfit! http://lookbook.nu/look/160916"
1093,Great.  ? http://blip.fm/~7df6m
1103," had a good night, love my best buds in the world!!! adamcheeeserosie"
1104, had a Really good night!!! Stoked for things to come!!!
1105, had an ok day. it went by fast.
1110, hah! @jonloverobot that was awesome. just listened to you. pretty cool!  i love for crying out loud. 
1111, haha I really did and I'm about to call music unlimited tomorrow for  Simon..tryin to be like ROD ;)
1113,63/100 for my MSC120 Assignment that was incomplete!!!! Relief
1118, actually I might be crazy 'cause I love my job. 
1119," actually quite happy toady. apart from the agony all over my body, and not being able to go outside :L done some revising so all's gd "
1120, ah belhblehbleh the familys watching a moviee and yes imm beingg a computerr nerd :p and i wish jerkface would wake up onee daaayyyy!!!!
1137," alright back onto being bored. going to bed any time soon, have to get up early."
1143,and hug@ladypn: &quot;Is there a waiting line to get into Club Blip? ;) &quot; ? http://blip.fm/~7d2a5
1144, and I dunno why but with you I'd dance in a storm in my best dress.
1147,- Annnnnd @CarlaNix 's website has LAUNCHED :: http://carlaynix.com :: Bookmark it &amp; check back often. Itinerary 2 b added soon!
1153,- 5 days to the musical  i'm gonna dance wow WOW wow it's gonna be something like High School Musical ihihih xoxo Petia
1158, a goodmorning back at cha @moovmnt
1160, a perfect weekend 
1161, a pony's clop-clopping down the hill (heard him long before i saw him). this would so not happen in Brooklyn barring a cop on horseback.
1163, adorei zoffitcha hj... dps ponho foto no tpic. GOODNIGHT TWITTERS =]
1169, aint i supposed to be happy ...
1172," all done., time to finally start shuting down"
1176," all smiles. im fairly hapy with what has happened yesterday, even though some other had to put a damper  on things *cough*"
1177,- all the snow is gone... that didn't take long... 
1179, almost done wit the painting tired as crap. Sleep time.&quot;in love with u&quot;- ziggy marley and erykah badu
